Region,RefSite,Contributor,Lat,Lon,Count,StartYear,EndYear
Northern U.S.,New York City,Alex,40.712784,-74.005941,434,1651,1655
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1656,1660
Northern U.S.,New York City,Alex,40.712784,-74.005941,682,1661,1665
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1666,1670
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1671,1675
Northern U.S.,New York City,Alex,40.712784,-74.005941,56,1676,1680
Northern U.S.,New York City,Alex,40.712784,-74.005941,193,1681,1685
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1686,1690
Northern U.S.,New York City,Alex,40.712784,-74.005941,386,1691,1695
Northern U.S.,New York City,Alex,40.712784,-74.005941,1075,1696,1700
Northern U.S.,New York City,Alex,40.712784,-74.005941,30,1701,1705
Northern U.S.,New York City,Alex,40.712784,-74.005941,66,1706,1710
Northern U.S.,New York City,Alex,40.712784,-74.005941,300,1711,1715
Northern U.S.,New York City,Alex,40.712784,-74.005941,523,1716,1720
Northern U.S.,New York City,Alex,40.712784,-74.005941,419,1721,1725
Northern U.S.,New York City,Alex,40.712784,-74.005941,290,1726,1730
Northern U.S.,New York City,Alex,40.712784,-74.005941,2405,1731,1735
Northern U.S.,New York City,Alex,40.712784,-74.005941,3320,1736,1740
Northern U.S.,New York City,Alex,40.712784,-74.005941,2279,1741,1745
Northern U.S.,New York City,Alex,40.712784,-74.005941,3243,1746,1750
Northern U.S.,New York City,Alex,40.712784,-74.005941,2002,1751,1755
Northern U.S.,New York City,Alex,40.712784,-74.005941,3138,1756,1760
Northern U.S.,New York City,Alex,40.712784,-74.005941,3983,1761,1765
Northern U.S.,New York City,Alex,40.712784,-74.005941,1384,1766,1770
Northern U.S.,New York City,Alex,40.712784,-74.005941,149,1771,1775
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1776,1780
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1781,1785
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1786,1790
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1791,1795
Northern U.S.,New York City,Alex,40.712784,-74.005941,260,1796,1800
Northern U.S.,New York City,Alex,40.712784,-74.005941,338,1801,1805
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1806,1810
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1811,1815
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1816,1820
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1821,1825
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1826,1830
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1831,1835
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1836,1840
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1841,1845
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1846,1850
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1851,1855
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1856,1860
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1861,1865
Northern U.S.,New York City,Alex,40.712784,-74.005941,0,1866,1870
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1651,1655
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,630,1656,1660
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,1607,1661,1665
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1666,1670
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,616,1671,1675
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,1783,1676,1680
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,107,1681,1685
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,2122,1686,1690
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,1925,1691,1695
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,3298,1696,1700
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,5580,1701,1705
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,7228,1706,1710
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,977,1711,1715
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,8048,1716,1720
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,8141,1721,1725
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,13447,1726,1730
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,13044,1731,1735
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,15330,1736,1740
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,7443,1741,1745
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,4651,1746,1750
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,9152,1751,1755
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,5437,1756,1760
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,9503,1761,1765
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,3450,1766,1770
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,3506,1771,1775
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,367,1776,1780
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,106,1781,1785
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1786,1790
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1791,1795
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1796,1800
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,68,1801,1805
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1806,1810
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1811,1815
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1816,1820
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1821,1825
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1826,1830
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1831,1835
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1836,1840
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1841,1845
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1846,1850
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1851,1855
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1856,1860
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1861,1865
Chesapeake,Yorktown VA,Instructor,37.238756,-76.509673,0,1866,1870
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1651,1655
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1656,1660
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1661,1665
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1666,1670
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1671,1675
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1676,1680
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1681,1685
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1686,1690
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1691,1695
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1696,1700
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1701,1705
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,227,1706,1710
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,765,1711,1715
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,1459,1716,1720
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,3020,1721,1725
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,4831,1726,1730
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,13821,1731,1735
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,14040,1736,1740
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,863,1741,1745
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,2119,1746,1750
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,7900,1751,1755
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,14956,1756,1760
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,18338,1761,1765
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,9706,1766,1770
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,24627,1771,1775
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,278,1776,1780
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,10267,1781,1785
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,3096,1786,1790
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,5324,1791,1795
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,7761,1796,1800
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,21830,1801,1805
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,44853,1806,1810
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1811,1815
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,95,1816,1820
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1821,1825
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1826,1830
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1831,1835
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1836,1840
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1841,1845
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1846,1850
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1851,1855
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,303,1856,1860
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1861,1865
Carolinas / Georgia,Charleston SC,Instructor,32.776475,-79.931051,0,1866,1870
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1651,1655
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1656,1660
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1661,1665
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1666,1670
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1671,1675
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1676,1680
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1681,1685
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1686,1690
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1691,1695
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1696,1700
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1701,1705
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1706,1710
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1711,1715
Gulf states,New Orleans,Sam,29.951066,-90.071532,607,1716,1720
Gulf states,New Orleans,Sam,29.951066,-90.071532,1913,1721,1725
Gulf states,New Orleans,Sam,29.951066,-90.071532,4473,1726,1730
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1731,1735
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1736,1740
Gulf states,New Orleans,Sam,29.951066,-90.071532,222,1741,1745
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1746,1750
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1751,1755
Gulf states,New Orleans,Sam,29.951066,-90.071532,362,1756,1760
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1761,1765
Gulf states,New Orleans,Sam,29.951066,-90.071532,327,1766,1770
Gulf states,New Orleans,Sam,29.951066,-90.071532,901,1771,1775
Gulf states,New Orleans,Sam,29.951066,-90.071532,1356,1776,1780
Gulf states,New Orleans,Sam,29.951066,-90.071532,199,1781,1785
Gulf states,New Orleans,Sam,29.951066,-90.071532,630,1786,1790
Gulf states,New Orleans,Sam,29.951066,-90.071532,586,1791,1795
Gulf states,New Orleans,Sam,29.951066,-90.071532,87,1796,1800
Gulf states,New Orleans,Sam,29.951066,-90.071532,2680,1801,1805
Gulf states,New Orleans,Sam,29.951066,-90.071532,3053,1806,1810
Gulf states,New Orleans,Sam,29.951066,-90.071532,1230,1811,1815
Gulf states,New Orleans,Sam,29.951066,-90.071532,2960,1816,1820
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1821,1825
Gulf states,New Orleans,Sam,29.951066,-90.071532,91,1826,1830
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1831,1835
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1836,1840
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1841,1845
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1846,1850
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1851,1855
Gulf states,New Orleans,Sam,29.951066,-90.071532,110,1856,1860
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1861,1865
Gulf states,New Orleans,Sam,29.951066,-90.071532,0,1866,1870
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1651,1655
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1656,1660
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1661,1665
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1666,1670
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1671,1675
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1676,1680
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,133,1681,1685
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1686,1690
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1691,1695
U.S.A. unspecified,U.S.A. unspecified,Instructor,40.133917,-30.123456,0,1696,1700
